bairro,cidade,bairro_latitude,bairro_longitude,classificação,1963,1973,1983,1993,2003,2009,2014,2019,2024
Não informado,Bom Jardim,-22.15160,-42.41886,Outras cidades,0,0,0,0,0,0,1,0,0
Alcântara,São Gonçalo,-22.8188396,-43.0039672,RMRJ,0,0,0,0,0,1,0,0,0
Alto da Boa Vista,Rio de Janeiro,-22.950832,-43.261171,Zona Norte,0,1,0,0,0,0,0,0,0
Andaraí,Rio de Janeiro,-22.9290845,-43.2534858,Zona Norte,0,0,0,0,0,0,0,0,1
Angra dos Reis,Rio de Janeiro,-22.999429,-44.306715,Outras cidades,0,0,0,0,0,0,0,1,0
Anil,Rio de Janeiro,-22.9558133,-43.3384123,Zona Oeste,0,0,0,0,0,0,1,0,0
Antonina,São Gonçalo,-22.8161000,-43.0277000,RMRJ,0,0,0,0,0,0,0,1,0
Austin,Nova Iguaçu,-22.7202067,-43.5232928,RMRJ,0,0,0,0,0,0,0,1,1
Bangu,Rio de Janeiro,-22.8753053,-43.4648805,Zona Oeste,0,0,0,0,0,1,0,1,3
Barra da Tijuca,Rio de Janeiro,-22.9997404,-43.3659929,Zona Oeste,0,1,0,4,0,1,2,0,0
Barro Vermelho,São Gonçalo/RJ,-22.840828,-43.076935,RMRJ,0,0,0,0,0,0,1,0,0
Bento Ribeiro,Rio de Janeiro,-22.8666607,-43.3608367,Zona Norte,0,0,0,0,0,0,0,1,0
Bonsucesso,Rio de Janeiro,-22.8659317,-43.2533180,Zona Norte,0,0,0,0,0,0,1,1,0
Botafogo,Rio de Janeiro,-22.949282,-43.184194,Zona Sul,3,0,4,3,2,2,3,3,0
Cachambi,Rio de Janeiro,-22.8897728,-43.2743347,Zona Norte,0,0,0,0,0,0,1,0,0
Campo Grande,Rio de Janeiro,-22.9029530,-43.5591295,Zona Oeste,0,0,0,0,0,0,2,1,1
Cascadura,Rio de Janeiro,-22.8841816,-43.3283969,Zona Norte,0,0,0,0,0,0,1,0,0
Catumbi,Rio de Janeiro,-22.915635,-43.195722,Centro,0,0,0,0,0,1,0,0,0
Centro,Juiz de Fora,-21.7598590,-43.3467271,Outras cidades,0,0,0,0,0,1,0,0,0
Centro,Macaé,-22.3770970,-41.7778557,RMRJ,0,0,0,0,0,1,0,0,0
Centro,Nova Friburgo,-22.295577,-42.532336,Outras cidades,0,0,0,0,0,1,0,0,0
Centro,Petrópolis,-22.5099814,-43.1754892,RMRJ,1,0,0,0,0,0,0,0,0
